HUD frame time nsec:,17076000

Range Index,Elapsed Time, First Event,Last Event
0,6240,13,13
1,4704,15,15
2,1888,18,18
3,172992,53,53
4,6112,61,61
5,3808,101,101
6,992,142,142
7,1472,183,183
8,736,224,224
9,1920,265,265
10,4544,306,306
11,3680,347,347
12,4064,388,388
13,640,429,429
14,640,470,470
15,640,511,511
16,608,552,552
17,5760,593,593
18,5664,634,634
19,7200,675,675
20,6240,716,716
21,608,757,757
22,672,798,798
23,10624,839,839
24,12704,880,880
25,13536,921,921
26,9280,962,962
27,7360,1003,1003
28,6528,1044,1044
29,64352,1085,1085
30,57888,1126,1126
31,43200,1167,1167
32,23872,1208,1208
33,13920,1249,1249
34,9472,1290,1290
35,7360,1331,1331
36,6688,1372,1372
37,63712,1413,1413
38,56704,1454,1454
39,43200,1495,1495
40,26176,1536,1536
41,14240,1577,1577
42,8960,1618,1618
43,7776,1659,1659
44,5280,1700,1700
45,608,1741,1741
46,608,1782,1782
47,9984,1823,1823
48,14752,1864,1864
49,13280,1905,1905
50,9312,1946,1946
51,7104,1987,1987
52,5824,2028,2028
53,640,2069,2069
54,608,2110,2110
55,640,2151,2151
56,608,2192,2192
57,3168,2233,2233
58,6752,2274,2274
59,7616,2315,2315
60,6240,2356,2356
61,640,2397,2397
62,608,2438,2438
63,640,2479,2479
64,640,2520,2520
65,640,2561,2561
66,640,2602,2602
67,640,2643,2643
68,1024,2684,2684
69,95552,2709,2709
70,6208,2714,2714
71,97696,2725,2725
72,10592,2734,2734
73,295072,2748,2748
74,288960,2757,2757
75,288096,2766,2766
76,288192,2775,2775
77,287712,2784,2784
78,288224,2793,2793
79,288032,2802,2802
80,288768,2811,2811
81,288256,2820,2820
82,289184,2829,2829
83,288096,2838,2838
84,288640,2847,2847
85,288000,2856,2856
86,288640,2865,2865
87,288128,2874,2874
88,288544,2883,2883
89,287968,2892,2892
90,288672,2901,2901
91,288544,2910,2910
92,288384,2919,2919
93,28224,2925,2925
94,95360,2940,2940
95,5600,2946,2946
96,33408,2955,2955
97,608,2986,2986
98,1180832,3001,3001
